Shop;Date;Item;Quantity;Cost;TotalCost
Epping Market;2015-02-06;Mixed Sweets 5s;150;3.00;450.00
HomeMade;2015-02-06;Soap Bar;5;3.00;15.00
Makro;2015-02-6;Bread;30;9.00;270.00
Makro;2015-02-6;Chakalaka Can;15;7.00;105.00
Makro;2015-02-6;Coke 500ml;36;3.50;126.00
Makro;2015-02-6;Cream Soda 500ml;18;4.50;81.00
Makro;2015-02-6;Fanta 500ml;24;4.50;108.00
Makro;2015-02-6;Gold Dish Vegetable Curry Can;15;5.00;75.00
Makro;2015-02-6;Imasi;25;17.00;425.00
Makro;2015-02-6;Iwisa Pap 5kg;5;20.00;100.00
Makro;2015-02-6;Milk 1l;10;7.00;70.00
Makro;2015-02-6;Top Class Soy Mince;10;8.00;80.00
ChinaTown;2015-02-09;Rose (plastic);20;10.00;200.00
Joe Spaza Shop;2015-02-09;Milk 1l;3;9.50;28.50
Epping Market;2015-02-10;Bananas - loose;4;1.00;4.00
Epping Market;2015-02-10;Apples - loose;20;1.50;30.00
Epping Market;2015-02-10;Mixed Sweets 5s;150;3.00;450.00
Makro;2015-02-10;Bread;10;9.00;90.00
Makro;2015-02-10;Chakalaka Can;15;7.00;105.00
Makro;2015-02-10;Coke 500ml;18;3.50;63.00
Makro;2015-02-10;Gold Dish Vegetable Curry Can;5;5.00;25.00
Makro;2015-02-10;Heart Chocolates;20;25.00;500.00
Makro;2015-02-10;Imasi;10;R17.00;170.00
Makro;2015-02-10;Iwisa Pap 5kg;5;20.00;100.00
Makro;2015-02-10;Milk 1l;10;7.00;70.00
Makro;2015-02-10;Top Class Soy Mince;15;8.00;120.00
HomeMade;2015-02-11;Shampoo 1 litre;2;20.00;40.00
HomeMade;2015-02-11;Valentine Cards;20;2.00;40.00
Joe Spaza Shop;2015-02-12;Milk 1l;3;9.50;28.50
Epping Market;2015-02-13;Bananas - loose;4;1.00;4.00
Epping Market;2015-02-13;Mixed Sweets 5s;50;3.00;150.00
HomeMade;2015-02-13;Shampoo 1 litre;3;20.00;60.00
HomeMade;2015-02-13;Soap Bar;5;3.00;15.00
Joe Spaza Shop;2015-02-13;Gold Dish Vegetable Curry Can;5;8.50;42.50
Makro;2015-02-13;Bread;5;9.00;45.00
Makro;2015-02-13;Coke 500ml;12;3.50;42.00
Makro;2015-02-13;Fanta 500ml;12;4.50;54.00
Makro;2015-02-13;Imasi;20;17.00;340.00
Makro;2015-02-13;Milk 1l;15;7.00;105.00
Makro;2015-02-13;Top Class Soy Mince;5;8.00;40.00
HomeMade;2015-02-14;Shampoo 1 litre;1;20.00;20.00
Joe Spaza Shop;2015-02-14;Gold Dish Vegetable Curry Can;2;8.50;17.00
Joe Spaza Shop;2015-02-16;Chakalaka Can;2;8.50;17.00
Joe Spaza Shop;2015-02-16;Cream Soda 500ml;2;7.50;15.00
Joe Spaza Shop;2015-02-16;Fanta 500ml;1;6.50;6.50
Joe Spaza Shop;2015-02-16;Gold Dish Vegetable Curry Can;2;8.50;17.00
Joe Spaza Shop;2015-02-16;Iwisa Pap 5kg;1;30.00;30.00
Joe Spaza Shop;2015-02-16;Milk 1l;6;9.50;57.00
Epping Market;2015-02-17;Apples - loose;60;1.50;90.00
Epping Market;2015-02-17;Mixed Sweets 5s;12;3.00;36.00
Makro;2015-02-17;Bread;15;9.00;135.00
Makro;2015-02-17;Chakalaka Can;10;7.00;70.00
Makro;2015-02-17;Coke 500ml;24;3.50;84.00
Makro;2015-02-17;Cream Soda 500ml;12;4.50;54.00
Makro;2015-02-17;Fanta 500ml;12;4.50;54.00
Makro;2015-02-17;Gold Dish Vegetable Curry Can;10;5.00;50.00
Makro;2015-02-17;Imasi;15;17.00;255.00
Makro;2015-02-17;Iwisa Pap 5kg;5;20.00;100.00
Makro;2015-02-17;Milk 1l;15;7.00;105.00
Makro;2015-02-17;Top Class Soy Mince;5;8.00;40.00
HomeMade;2015-02-18;Shampoo 1 litre;1;20.00;20.00
HomeMade;2015-02-18;Soap Bar;5;3.00;15.00
HomeMade;2015-02-19;Shampoo 1 litre;2;20.00;40.00
Joe Spaza Shop;2015-02-19;Milk 1l;1;9.50;9.50
Epping Market;2015-02-20;Bananas - loose;20;1.00;20.00
Epping Market;2015-02-20;Apples - loose;90;1.50;135.00
Epping Market;2015-02-20;Mixed Sweets 5s;20;3.00;60.00
HomeMade;2015-02-20;Shampoo 1 litre;2;20.00;40.00
HomeMade;2015-02-20;Soap Bar;3;3.00;9.00
Makro;2015-02-20;Bread;10;9.00;90.00
Makro;2015-02-20;Imasi;10;17.00;170.00
Makro;2015-02-20;Iwisa Pap 5kg;5;20.00;100.00
Makro;2015-02-20;Milk 1l;15;7.00;105.00
Makro;2015-02-20;Top Class Soy Mince;10;8.00;80.00
Joe Spaza Shop;2015-02-23;Chakalaka Can;3;9.00;27.00
Epping Market;2015-02-24;Bananas - loose;10;1.00;10.00
Epping Market;2015-02-24;Apples - loose;90;1.50;135.00
Epping Market;2015-02-24;Mixed Sweets 5s;8;3.00;24.00
Makro;2015-02-24;Bread;15;R9.00;135.00
Makro;2015-02-24;Chakalaka Can;10;7.00;70.00
Makro;2015-02-24;Coke 500ml;18;3.50;63.00
Makro;2015-02-24;Cream Soda 500ml;6;4.50;27.00
Makro;2015-02-24;Fanta 500ml;6;4.50;27.00
Makro;2015-02-24;Gold Dish Vegetable Curry Can;10;5.00;50.00
Makro;2015-02-24;Imasi;15;17.00;255.00
Makro;2015-02-24;Milk 1l;20;7.00;140.00
Makro;2015-02-24;Top Class Soy Mince;15;8.00;120.00
HomeMade;2015-02-25;Soap Bar;5;3.00;15.00
HomeMade;2015-02-26;Shampoo 1 litre;2;20.00;40.00
HomeMade;2015-02-26;Soap Bar;5;3.00;15.00
Joe Spaza Shop;2015-02-26;Bread;1;11.00;11.00
Joe Spaza Shop;2015-02-26;Fanta 500ml;2;6.50;13.00
Joe Spaza Shop;2015-02-26;Gold Dish Vegetable Curry Can;1;8.50;8.50
Joe Spaza Shop;2015-02-26;Iwisa Pap 5kg;1;30.00;30.00
Epping Market;2015-02-27;Bananas - loose;10;1.00;10.00
Epping Market;2015-02-27;Apples - loose;60;1.50;90.00
HomeMade;2015-02-27;Shampoo 1 litre;5;20.00;100.00
HomeMade;2015-02-27;Soap Bar;5;3.00;15.00
Makro;2015-02-27;Bread;20;9.00;180.00
Makro;2015-02-27;Chakalaka Can;15;7.00;105.00
Makro;2015-02-27;Coke 500ml;24;3.50;84.00
Makro;2015-02-27;Cream Soda 500ml;12;4.50;54.00
Makro;2015-02-27;Fanta 500ml;12;4.50;54.00
Makro;2015-02-27;Gold Dish Vegetable Curry Can;15;5.00;75.00
Makro;2015-02-27;Imasi;15;17.00;255.00
Makro;2015-02-27;Iwisa Pap 5kg;10;20.00;200.00
Makro;2015-02-27;Milk 1l;20;7.00;140.00
Makro;2015-02-27;Top Class Soy Mince;15;8.00;120.00
HomeMade;2015-02-28;Shampoo 1 litre;2;20.00;40.00
HomeMade;2015-02-28;Soap Bar;3;3.00;9.00
Joe Spaza Shop;2015-02-28;Chakalaka Can;3;8.50;25.50
Joe Spaza Shop;2015-02-28;Gold Dish Vegetable Curry Can;2;8.50;17.00
Joe Spaza Shop;2015-02-28;Top Class Soy Mince;5;11.00;55.00
HomeMade;2015-03-01;Shampoo 1 litre;2;20.00;40.00
HomeMade;2015-03-01;Soap Bar;5;3.00;15.00
Joe Spaza Shop;2015-03-01;Chakalaka Can;3;8.50;25.50
Joe Spaza Shop;2015-03-01;Gold Dish Vegetable Curry Can;2;8.50;17.00
Joe Spaza Shop;2015-03-01;Top Class Soy Mince;3;11.00;33.00
