Day;Date;stockItem;NoSold;SalesPrice
Thursday;2015-02-05;Iwisa Pap 5kg;2;30.00
Thursday;2015-02-05;Top Class Soy Mince;1;12.00
Thursday;2015-02-05;Shampoo 1 litre;0;30.00
Thursday;2015-02-05;Soap Bar;1;6.00
Thursday;2015-02-05;Bananas - loose;8;2.00
Thursday;2015-02-05;Apples - loose;12;2.00
Thursday;2015-02-05;Mixed Sweets 5s;5;3.00
Friday;2015-02-06;Milk 1l;6;10.00
Friday;2015-02-06;Imasi;4;25.00
Friday;2015-02-06;Bread;7;12.00
Friday;2015-02-06;Chakalaka Can;5;10.00
Friday;2015-02-06;Gold Dish Vegetable Curry Can;2;9.00
Friday;2015-02-06;Fanta 500ml;7;6.50
Friday;2015-02-06;Coke 500ml;8;6.50
Friday;2015-02-06;Cream Soda 500ml;3;7.50
Friday;2015-02-06;Iwisa Pap 5kg;6;30.00
Friday;2015-02-06;Top Class Soy Mince;8;12.00
Friday;2015-02-06;Shampoo 1 litre;1;30.00
Friday;2015-02-06;Soap Bar;3;6.00
Friday;2015-02-06;Bananas - loose;2;2.00
Friday;2015-02-06;Apples - loose;0;2.00
Friday;2015-02-06;Mixed Sweets 5s;5;3.00
Saturday;2015-02-07;Milk 1l;4;10.00
Saturday;2015-02-07;Imasi;6;25.00
Saturday;2015-02-07;Bread;4;12.00
Saturday;2015-02-07;Chakalaka Can;2;10.00
Saturday;2015-02-07;Gold Dish Vegetable Curry Can;0;9.00
Saturday;2015-02-07;Fanta 500ml;3;6.50
Saturday;2015-02-07;Coke 500ml;7;6.50
Saturday;2015-02-07;Cream Soda 500ml;0;7.50
Saturday;2015-02-07;Iwisa Pap 5kg;0;30.00
Saturday;2015-02-07;Top Class Soy Mince;1;12.00
Saturday;2015-02-07;Shampoo 1 litre;0;30.00
Saturday;2015-02-07;Soap Bar;1;6.00
Saturday;2015-02-07;Bananas - loose;8;2.00
Saturday;2015-02-07;Apples - loose;3;2.00
Saturday;2015-02-07;Mixed Sweets 5s;3;3.00
Sunday;2015-02-08;Milk 1l;0;10.00
Sunday;2015-02-08;Imasi;2;25.00
Sunday;2015-02-08;Bread;2;12.00
Sunday;2015-02-08;Chakalaka Can;1;10.00
Sunday;2015-02-08;Gold Dish Vegetable Curry Can;0;9.00
Sunday;2015-02-08;Fanta 500ml;4;6.50
Sunday;2015-02-08;Coke 500ml;4;6.50
Sunday;2015-02-08;Cream Soda 500ml;1;7.50
Sunday;2015-02-08;Iwisa Pap 5kg;1;30.00
Sunday;2015-02-08;Top Class Soy Mince;2;12.00
Sunday;2015-02-08;Shampoo 1 litre;0;30.00
Sunday;2015-02-08;Soap Bar;1;6.00
Sunday;2015-02-08;Bananas - loose;5;2.00
Sunday;2015-02-08;Apples - loose;2;2.00
Sunday;2015-02-08;Mixed Sweets 5s;9;3.00
Monday;2015-02-09;Milk 1l;3;10.00
Monday;2015-02-09;Imasi;6;25.00
Monday;2015-02-09;Bread;7;12.00
Monday;2015-02-09;Chakalaka Can;5;10.00
Monday;2015-02-09;Gold Dish Vegetable Curry Can;6;9.00
Monday;2015-02-09;Fanta 500ml;3;6.50
Monday;2015-02-09;Coke 500ml;8;6.50
Monday;2015-02-09;Cream Soda 500ml;5;7.50
Monday;2015-02-09;Iwisa Pap 5kg;2;30.00
Monday;2015-02-09;Top Class Soy Mince;1;12.00
Monday;2015-02-09;Shampoo 1 litre;0;30.00
Monday;2015-02-09;Soap Bar;0;6.00
Monday;2015-02-09;Bananas - loose;5;2.00
Monday;2015-02-09;Apples - loose;0;2.00
Monday;2015-02-09;Mixed Sweets 5s;3;3.00
Tuesday;2015-02-10;Milk 1l;5;10.00
Tuesday;2015-02-10;Imasi;4;25.00
Tuesday;2015-02-10;Bread;2;12.00
Tuesday;2015-02-10;Chakalaka Can;0;10.00
Tuesday;2015-02-10;Gold Dish Vegetable Curry Can;0;9.00
Tuesday;2015-02-10;Fanta 500ml;1;6.50
Tuesday;2015-02-10;Coke 500ml;3;6.50
Tuesday;2015-02-10;Cream Soda 500ml;2;7.50
Tuesday;2015-02-10;Iwisa Pap 5kg;1;30.00
Tuesday;2015-02-10;Top Class Soy Mince;3;12.00
Tuesday;2015-02-10;Shampoo 1 litre;1;30.00
Tuesday;2015-02-10;Soap Bar;0;6.00
Tuesday;2015-02-10;Bananas - loose;3;2.00
Tuesday;2015-02-10;Apples - loose;2;2.00
Tuesday;2015-02-10;Mixed Sweets 5s;7;2.00
Tuesday;2015-02-10;Heart Chocolates;3;35.00
Tuesday;2015-02-10;Rose (plastic);1;15.00
Wednesday;2015-02-11;Milk 1l;5;10.00
Wednesday;2015-02-11;Imasi;4;25.00
Wednesday;2015-02-11;Bread;3;12.00
Wednesday;2015-02-11;Chakalaka Can;2;10.00
Wednesday;2015-02-11;Gold Dish Vegetable Curry Can;1;9.00
Wednesday;2015-02-11;Fanta 500ml;2;6.50
Wednesday;2015-02-11;Coke 500ml;3;6.50
Wednesday;2015-02-11;Cream Soda 500ml;1;7.50
Wednesday;2015-02-11;Iwisa Pap 5kg;0;30.00
Wednesday;2015-02-11;Top Class Soy Mince;2;12.00
Wednesday;2015-02-11;Shampoo 1 litre;1;30.00
Wednesday;2015-02-11;Soap Bar;0;6.00
Wednesday;2015-02-11;Bananas - loose;4;2.00
Wednesday;2015-02-11;Apples - loose;3;2.00
Wednesday;2015-02-11;Mixed Sweets 5s;8;2.00
Wednesday;2015-02-11;Heart Chocolates;5;35.00
Wednesday;2015-02-11;Rose (plastic);3;15.00
Thursday;2015-02-12;Milk 1l;3;10.00
Thursday;2015-02-12;Imasi;9;25.00
Thursday;2015-02-12;Bread;2;12.00
Thursday;2015-02-12;Chakalaka Can;3;10.00
Thursday;2015-02-12;Gold Dish Vegetable Curry Can;1;9.00
Thursday;2015-02-12;Fanta 500ml;0;6.50
Thursday;2015-02-12;Coke 500ml;2;6.50
Thursday;2015-02-12;Cream Soda 500ml;1;7.50
Thursday;2015-02-12;Iwisa Pap 5kg;0;30.00
Thursday;2015-02-12;Top Class Soy Mince;2;12.00
Thursday;2015-02-12;Shampoo 1 litre;0;30.00
Thursday;2015-02-12;Soap Bar;2;6.00
Thursday;2015-02-12;Bananas - loose;2;2.00
Thursday;2015-02-12;Apples - loose;3;2.00
Thursday;2015-02-12;Mixed Sweets 5s;3;3.00
Thursday;2015-02-12;Heart Chocolates;2;35.00
Thursday;2015-02-12;Valentine Cards;6;4.00
Thursday;2015-02-12;Rose (plastic);2;15.00
Friday;2015-02-13;Milk 1l;6;10.00
Friday;2015-02-13;Imasi;6;25.00
Friday;2015-02-13;Bread;5;12.00
Friday;2015-02-13;Chakalaka Can;7;10.00
Friday;2015-02-13;Gold Dish Vegetable Curry Can;15;9.00
Friday;2015-02-13;Fanta 500ml;6;6.50
Friday;2015-02-13;Coke 500ml;8;6.50
Friday;2015-02-13;Cream Soda 500ml;4;7.50
Friday;2015-02-13;Iwisa Pap 5kg;3;30.00
Friday;2015-02-13;Top Class Soy Mince;4;12.00
Friday;2015-02-13;Shampoo 1 litre;4;30.00
Friday;2015-02-13;Soap Bar;2;6.00
Friday;2015-02-13;Bananas - loose;4;2.00
Friday;2015-02-13;Apples - loose;2;2.00
Friday;2015-02-13;Mixed Sweets 5s;6;3.00
Friday;2015-02-13;Heart Chocolates;10;35.00
Friday;2015-02-13;Valentine Cards;5;4.00
Friday;2015-02-13;Rose (plastic);7;15.00
Saturday;2015-02-14;Milk 1l;6;10.00
Saturday;2015-02-14;Imasi;5;25.00
Saturday;2015-02-14;Bread;7;12.00
Saturday;2015-02-14;Chakalaka Can;3;10.00
Saturday;2015-02-14;Gold Dish Vegetable Curry Can;4;9.00
Saturday;2015-02-14;Fanta 500ml;7;6.50
Saturday;2015-02-14;Coke 500ml;14;6.50
Saturday;2015-02-14;Cream Soda 500ml;8;7.50
Saturday;2015-02-14;Iwisa Pap 5kg;3;30.00
Saturday;2015-02-14;Top Class Soy Mince;7;12.00
Saturday;2015-02-14;Shampoo 1 litre;0;30.00
Saturday;2015-02-14;Soap Bar;0;6.00
Saturday;2015-02-14;Bananas - loose;5;2.00
Saturday;2015-02-14;Apples - loose;9;2.00
Saturday;2015-02-14;Mixed Sweets 5s;18;3.00
Saturday;2015-02-14;Heart Chocolates;0;35.00
Saturday;2015-02-14;Valentine Cards;3;4.00
Saturday;2015-02-14;Rose (plastic);1;15.00
Sunday;2015-02-15;Milk 1l;2;10.00
Sunday;2015-02-15;Imasi;2;25.00
Sunday;2015-02-15;Bread;1;12.00
Sunday;2015-02-15;Chakalaka Can;3;10.00
Sunday;2015-02-15;Gold Dish Vegetable Curry Can;0;9.00
Sunday;2015-02-15;Fanta 500ml;5;6.50
Sunday;2015-02-15;Coke 500ml;4;6.50
Sunday;2015-02-15;Cream Soda 500ml;2;7.50
Sunday;2015-02-15;Iwisa Pap 5kg;0;30.00
Sunday;2015-02-15;Top Class Soy Mince;1;12.00
Sunday;2015-02-15;Shampoo 1 litre;0;30.00
Sunday;2015-02-15;Soap Bar;1;6.00
Sunday;2015-02-15;Bananas - loose;1;2.00
Sunday;2015-02-15;Apples - loose;1;2.00
Sunday;2015-02-15;Mixed Sweets 5s;3;3.00
Monday;2015-02-16;Milk 1l;7;10.00
Monday;2015-02-16;Imasi;6;25.00
Monday;2015-02-16;Bread;4;12.00
Monday;2015-02-16;Chakalaka Can;3;10.00
Monday;2015-02-16;Gold Dish Vegetable Curry Can;2;9.00
Monday;2015-02-16;Fanta 500ml;2;6.50
Monday;2015-02-16;Coke 500ml;1;6.50
Monday;2015-02-16;Cream Soda 500ml;2;7.50
Monday;2015-02-16;Iwisa Pap 5kg;2;30.00
Monday;2015-02-16;Top Class Soy Mince;1;12.00
Monday;2015-02-16;Shampoo 1 litre;0;30.00
Monday;2015-02-16;Soap Bar;2;6.00
Monday;2015-02-16;Bananas - loose;2;2.00
Monday;2015-02-16;Apples - loose;3;2.00
Monday;2015-02-16;Mixed Sweets 5s;5;3.00
Tuesday;2015-02-17;Milk 1l;8;10.00
Tuesday;2015-02-17;Imasi;6;25.00
Tuesday;2015-02-17;Bread;3;12.00
Tuesday;2015-02-17;Chakalaka Can;0;10.00
Tuesday;2015-02-17;Gold Dish Vegetable Curry Can;0;9.00
Tuesday;2015-02-17;Fanta 500ml;0;6.50
Tuesday;2015-02-17;Coke 500ml;2;6.50
Tuesday;2015-02-17;Cream Soda 500ml;0;7.50
Tuesday;2015-02-17;Iwisa Pap 5kg;1;30.00
Tuesday;2015-02-17;Top Class Soy Mince;2;12.00
Tuesday;2015-02-17;Shampoo 1 litre;0;30.00
Tuesday;2015-02-17;Soap Bar;1;6.00
Tuesday;2015-02-17;Bananas - loose;2;2.00
Tuesday;2015-02-17;Apples - loose;6;2.00
Tuesday;2015-02-17;Mixed Sweets 5s;5;2.00
Wednesday;2015-02-18;Milk 1l;3;10.00
Wednesday;2015-02-18;Imasi;5;25.00
Wednesday;2015-02-18;Bread;5;12.00
Wednesday;2015-02-18;Chakalaka Can;1;10.00
Wednesday;2015-02-18;Gold Dish Vegetable Curry Can;0;9.00
Wednesday;2015-02-18;Fanta 500ml;0;6.50
Wednesday;2015-02-18;Coke 500ml;3;6.50
Wednesday;2015-02-18;Cream Soda 500ml;2;7.50
Wednesday;2015-02-18;Iwisa Pap 5kg;1;30.00
Wednesday;2015-02-18;Top Class Soy Mince;1;12.00
Wednesday;2015-02-18;Shampoo 1 litre;1;30.00
Wednesday;2015-02-18;Soap Bar;1;6.00
Wednesday;2015-02-18;Bananas - loose;1;2.00
Wednesday;2015-02-18;Apples - loose;3;2.00
Wednesday;2015-02-18;Mixed Sweets 5s;2;2.00
Thursday;2015-02-19;Milk 1l;5;10.00
Thursday;2015-02-19;Imasi;3;25.00
Thursday;2015-02-19;Bread;5;12.00
Thursday;2015-02-19;Chakalaka Can;2;10.00
Thursday;2015-02-19;Gold Dish Vegetable Curry Can;1;9.00
Thursday;2015-02-19;Fanta 500ml;1;6.50
Thursday;2015-02-19;Coke 500ml;1;6.50
Thursday;2015-02-19;Cream Soda 500ml;0;7.50
Thursday;2015-02-19;Iwisa Pap 5kg;0;30.00
Thursday;2015-02-19;Top Class Soy Mince;2;12.00
Thursday;2015-02-19;Shampoo 1 litre;2;30.00
Thursday;2015-02-19;Soap Bar;0;6.00
Thursday;2015-02-19;Bananas - loose;3;2.00
Thursday;2015-02-19;Apples - loose;5;2.00
Thursday;2015-02-19;Mixed Sweets 5s;4;3.00
Friday;2015-02-20;Milk 1l;4;10.00
Friday;2015-02-20;Imasi;2;25.00
Friday;2015-02-20;Bread;3;12.00
Friday;2015-02-20;Chakalaka Can;5;10.00
Friday;2015-02-20;Gold Dish Vegetable Curry Can;3;9.00
Friday;2015-02-20;Fanta 500ml;3;6.50
Friday;2015-02-20;Coke 500ml;5;6.50
Friday;2015-02-20;Cream Soda 500ml;6;7.50
Friday;2015-02-20;Iwisa Pap 5kg;0;30.00
Friday;2015-02-20;Top Class Soy Mince;3;12.00
Friday;2015-02-20;Shampoo 1 litre;1;30.00
Friday;2015-02-20;Soap Bar;3;6.00
Friday;2015-02-20;Bananas - loose;6;2.00
Friday;2015-02-20;Apples - loose;4;2.00
Friday;2015-02-20;Mixed Sweets 5s;8;3.00
Saturday;2015-02-21;Milk 1l;1;10.00
Saturday;2015-02-21;Imasi;1;25.00
Saturday;2015-02-21;Bread;3;12.00
Saturday;2015-02-21;Chakalaka Can;3;10.00
Saturday;2015-02-21;Gold Dish Vegetable Curry Can;2;9.00
Saturday;2015-02-21;Fanta 500ml;3;6.50
Saturday;2015-02-21;Coke 500ml;2;6.50
Saturday;2015-02-21;Cream Soda 500ml;0;7.50
Saturday;2015-02-21;Iwisa Pap 5kg;0;30.00
Saturday;2015-02-21;Top Class Soy Mince;2;12.00
Saturday;2015-02-21;Shampoo 1 litre;0;30.00
Saturday;2015-02-21;Soap Bar;0;6.00
Saturday;2015-02-21;Bananas - loose;2;2.00
Saturday;2015-02-21;Apples - loose;3;2.00
Saturday;2015-02-21;Mixed Sweets 5s;2;3.00
Sunday;2015-02-22;Milk 1l;2;10.00
Sunday;2015-02-22;Imasi;2;25.00
Sunday;2015-02-22;Bread;3;12.00
Sunday;2015-02-22;Chakalaka Can;0;10.00
Sunday;2015-02-22;Gold Dish Vegetable Curry Can;1;9.00
Sunday;2015-02-22;Fanta 500ml;2;6.50
Sunday;2015-02-22;Coke 500ml;0;6.50
Sunday;2015-02-22;Cream Soda 500ml;0;7.50
Sunday;2015-02-22;Iwisa Pap 5kg;0;30.00
Sunday;2015-02-22;Top Class Soy Mince;0;12.00
Sunday;2015-02-22;Shampoo 1 litre;0;30.00
Sunday;2015-02-22;Soap Bar;1;6.00
Sunday;2015-02-22;Bananas - loose;0;2.00
Sunday;2015-02-22;Apples - loose;1;2.00
Sunday;2015-02-22;Mixed Sweets 5s;3;3.00
Monday;2015-02-23;Milk 1l;8;10.00
Monday;2015-02-23;Imasi;6;25.00
Monday;2015-02-23;Bread;2;12.00
Monday;2015-02-23;Chakalaka Can;2;10.00
Monday;2015-02-23;Gold Dish Vegetable Curry Can;1;9.00
Monday;2015-02-23;Fanta 500ml;1;6.50
Monday;2015-02-23;Coke 500ml;3;6.50
Monday;2015-02-23;Cream Soda 500ml;0;7.50
Monday;2015-02-23;Iwisa Pap 5kg;2;30.00
Monday;2015-02-23;Top Class Soy Mince;1;12.00
Monday;2015-02-23;Shampoo 1 litre;0;30.00
Monday;2015-02-23;Soap Bar;0;6.00
Monday;2015-02-23;Bananas - loose;2;2.00
Monday;2015-02-23;Apples - loose;1;2.00
Monday;2015-02-23;Mixed Sweets 5s;3;3.00
Tuesday;2015-02-24;Milk 1l;4;10.00
Tuesday;2015-02-24;Imasi;2;25.00
Tuesday;2015-02-24;Bread;6;12.00
Tuesday;2015-02-24;Chakalaka Can;1;10.00
Tuesday;2015-02-24;Gold Dish Vegetable Curry Can;2;9.00
Tuesday;2015-02-24;Fanta 500ml;1;6.50
Tuesday;2015-02-24;Coke 500ml;2;6.50
Tuesday;2015-02-24;Cream Soda 500ml;1;7.50
Tuesday;2015-02-24;Iwisa Pap 5kg;1;30.00
Tuesday;2015-02-24;Top Class Soy Mince;2;12.00
Tuesday;2015-02-24;Shampoo 1 litre;0;30.00
Tuesday;2015-02-24;Soap Bar;1;6.00
Tuesday;2015-02-24;Bananas - loose;5;2.00
Tuesday;2015-02-24;Apples - loose;3;2.00
Tuesday;2015-02-24;Mixed Sweets 5s;7;2.00
Wednesday;2015-02-25;Milk 1l;8;10.00
Wednesday;2015-02-25;Imasi;6;25.00
Wednesday;2015-02-25;Bread;7;12.00
Wednesday;2015-02-25;Chakalaka Can;5;10.00
Wednesday;2015-02-25;Gold Dish Vegetable Curry Can;4;9.00
Wednesday;2015-02-25;Fanta 500ml;6;6.50
Wednesday;2015-02-25;Coke 500ml;8;6.50
Wednesday;2015-02-25;Cream Soda 500ml;5;7.50
Wednesday;2015-02-25;Iwisa Pap 5kg;3;30.00
Wednesday;2015-02-25;Top Class Soy Mince;7;12.00
Wednesday;2015-02-25;Shampoo 1 litre;1;30.00
Wednesday;2015-02-25;Soap Bar;4;6.00
Wednesday;2015-02-25;Bananas - loose;2;2.00
Wednesday;2015-02-25;Apples - loose;8;2.00
Wednesday;2015-02-25;Mixed Sweets 5s;5;2.00
Thursday;2015-02-26;Milk 1l;8;10.00
Thursday;2015-02-26;Imasi;8;25.00
Thursday;2015-02-26;Bread;5;12.00
Thursday;2015-02-26;Chakalaka Can;3;10.00
Thursday;2015-02-26;Gold Dish Vegetable Curry Can;7;9.00
Thursday;2015-02-26;Fanta 500ml;3;6.50
Thursday;2015-02-26;Coke 500ml;7;6.50
Thursday;2015-02-26;Cream Soda 500ml;4;7.50
Thursday;2015-02-26;Iwisa Pap 5kg;3;30.00
Thursday;2015-02-26;Top Class Soy Mince;8;12.00
Thursday;2015-02-26;Shampoo 1 litre;0;30.00
Thursday;2015-02-26;Soap Bar;3;6.00
Thursday;2015-02-26;Bananas - loose;2;2.00
Thursday;2015-02-26;Apples - loose;3;2.00
Thursday;2015-02-26;Mixed Sweets 5s;1;3.00
Friday;2015-02-27;Milk 1l;8;10.00
Friday;2015-02-27;Imasi;5;25.00
Friday;2015-02-27;Bread;3;12.00
Friday;2015-02-27;Chakalaka Can;12;10.00
Friday;2015-02-27;Gold Dish Vegetable Curry Can;9;9.00
Friday;2015-02-27;Fanta 500ml;6;6.50
Friday;2015-02-27;Coke 500ml;18;6.50
Friday;2015-02-27;Cream Soda 500ml;3;7.50
Friday;2015-02-27;Iwisa Pap 5kg;4;30.00
Friday;2015-02-27;Top Class Soy Mince;12;12.00
Friday;2015-02-27;Shampoo 1 litre;5;30.00
Friday;2015-02-27;Soap Bar;3;6.00
Friday;2015-02-27;Bananas - loose;1;2.00
Friday;2015-02-27;Apples - loose;3;2.00
Friday;2015-02-27;Mixed Sweets 5s;1;3.00
Saturday;2015-02-28;Milk 1l;3;10.00
Saturday;2015-02-28;Imasi;2;25.00
Saturday;2015-02-28;Bread;4;12.00
Saturday;2015-02-28;Chakalaka Can;5;10.00
Saturday;2015-02-28;Gold Dish Vegetable Curry Can;6;9.00
Saturday;2015-02-28;Fanta 500ml;3;6.50
Saturday;2015-02-28;Coke 500ml;4;6.50
Saturday;2015-02-28;Cream Soda 500ml;6;7.50
Saturday;2015-02-28;Iwisa Pap 5kg;2;30.00
Saturday;2015-02-28;Top Class Soy Mince;9;12.00
Saturday;2015-02-28;Shampoo 1 litre;4;30.00
Saturday;2015-02-28;Soap Bar;7;6.00
Saturday;2015-02-28;Bananas - loose;6;2.00
Saturday;2015-02-28;Apples - loose;8;2.00
Saturday;2015-02-28;Mixed Sweets 5s;8;3.00
Sunday;2015-03-01;Milk 1l;4;10.00
Sunday;2015-03-01;Imasi;3;25.00
Sunday;2015-03-01;Bread;3;12.00
Sunday;2015-03-01;Chakalaka Can;5;10.00
Sunday;2015-03-01;Gold Dish Vegetable Curry Can;4;9.00
Sunday;2015-03-01;Fanta 500ml;2;6.50
Sunday;2015-03-01;Coke 500ml;3;6.50
Sunday;2015-03-01;Cream Soda 500ml;0;7.50
Sunday;2015-03-01;Iwisa Pap 5kg;1;30.00
Sunday;2015-03-01;Top Class Soy Mince;4;12.00
Sunday;2015-03-01;Shampoo 1 litre;3;30.00
Sunday;2015-03-01;Soap Bar;6;6.00
Sunday;2015-03-01;Bananas - loose;4;2.00
Sunday;2015-03-01;Apples - loose;5;2.00
Sunday;2015-03-01;Mixed Sweets 5s;12;3.00
